testfall_id,stufe,domaene,workflow,score_strukturell,score_semantisch,score_gesamt,syntax_gate,fk_gate,pk_rate,fk_referenzen_ungueltig,entitaet_f1,attribut_f1,beziehung_recall,abweichungen_total,abweichungen,fehlerklasse,begruendung
TC018,1,Kindertagesstätte,iw,0.0,0.5649122807017544,0.3389473684210526,0,1,1.0,0,0.6666666666666666,0.5789473684210527,0.3333333333333333,11,tabelle:staffs | attribut:children.notes | attribut:staffs.id | attribut:staffs.firstname | attribut:staffs.lastname | attribut:staffs.phone | attribut:staffs.hiredate | attribut:staffs.is_active | attribut:staffs.group_id | beziehung:groups → staffs | beziehung:staffs → groups,,
TC018,1,Kindertagesstätte,mad,0.0,0.543859649122807,0.3263157894736842,0,1,1.0,0,0.6666666666666666,0.5263157894736842,0.3333333333333333,12,tabelle:staffs | attribut:children.notes | attribut:groups.room | attribut:staffs.id | attribut:staffs.firstname | attribut:staffs.lastname | attribut:staffs.phone | attribut:staffs.hiredate | attribut:staffs.is_active | attribut:staffs.group_id | beziehung:groups → staffs | beziehung:staffs → groups,,
TC018,1,Kindertagesstätte,oa,1.0,0.5228070175438596,0.7136842105263157,1,1,1.0,0,0.6666666666666666,0.47368421052631576,0.3333333333333333,13,tabelle:staffs | attribut:children.notes | attribut:groups.room | attribut:groups.leader_staff_id | attribut:staffs.id | attribut:staffs.firstname | attribut:staffs.lastname | attribut:staffs.phone | attribut:staffs.hiredate | attribut:staffs.is_active | attribut:staffs.group_id | beziehung:groups → staffs | beziehung:staffs → groups,,
TC018,1,Kindertagesstätte,ps,0.0,0.5228070175438596,0.31368421052631573,0,1,1.0,0,0.6666666666666666,0.47368421052631576,0.3333333333333333,13,tabelle:staffs | attribut:children.notes | attribut:groups.age_range | attribut:groups.room | attribut:staffs.id | attribut:staffs.firstname | attribut:staffs.lastname | attribut:staffs.phone | attribut:staffs.hiredate | attribut:staffs.is_active | attribut:staffs.group_id | beziehung:groups → staffs | beziehung:staffs → groups,,
TC018,1,Kindertagesstätte,sa,0.0,0.5228070175438596,0.31368421052631573,0,1,1.0,0,0.6666666666666666,0.47368421052631576,0.3333333333333333,13,tabelle:staffs | attribut:groups.age_range | attribut:groups.room | attribut:children.notes | attribut:staffs.id | attribut:staffs.firstname | attribut:staffs.lastname | attribut:staffs.phone | attribut:staffs.hiredate | attribut:staffs.is_active | attribut:staffs.group_id | beziehung:groups → staffs | beziehung:staffs → groups,,
TC009,1,Reinigung,iw,1.0,0.58,0.748,1,1,1.0,0,0.6666666666666666,0.5333333333333333,0.5,9,tabelle:cleaning_jobs | attribut:locations.label | attribut:locations.access_note | attribut:cleaning_jobs.id | attribut:cleaning_jobs.location_id | attribut:cleaning_jobs.job_date | attribut:cleaning_jobs.status | attribut:cleaning_jobs.team_note | beziehung:cleaning_jobs → locations,,
TC009,1,Reinigung,mad,1.0,0.26666666666666666,0.56,1,1,1.0,0,0.3333333333333333,0.3333333333333333,0.0,14,tabelle:locations | tabelle:cleaning_jobs | attribut:locations.id | attribut:locations.customer_id | attribut:locations.label | attribut:locations.address | attribut:locations.access_note | attribut:cleaning_jobs.id | attribut:cleaning_jobs.location_id | attribut:cleaning_jobs.job_date | attribut:cleaning_jobs.status | attribut:cleaning_jobs.team_note | beziehung:cleaning_jobs → locations | beziehung:locations → customers,,
TC009,1,Reinigung,oa,1.0,0.58,0.748,1,1,1.0,0,0.6666666666666666,0.5333333333333333,0.5,9,tabelle:cleaning_jobs | attribut:locations.label | attribut:locations.access_note | attribut:cleaning_jobs.id | attribut:cleaning_jobs.location_id | attribut:cleaning_jobs.job_date | attribut:cleaning_jobs.status | attribut:cleaning_jobs.team_note | beziehung:cleaning_jobs → locations,,
TC009,1,Reinigung,ps,1.0,0.26666666666666666,0.56,1,1,1.0,0,0.3333333333333333,0.3333333333333333,0.0,14,tabelle:locations | tabelle:cleaning_jobs | attribut:locations.id | attribut:locations.customer_id | attribut:locations.label | attribut:locations.address | attribut:locations.access_note | attribut:cleaning_jobs.id | attribut:cleaning_jobs.location_id | attribut:cleaning_jobs.job_date | attribut:cleaning_jobs.status | attribut:cleaning_jobs.team_note | beziehung:cleaning_jobs → locations | beziehung:locations → customers,,
TC009,1,Reinigung,sa,1.0,0.26666666666666666,0.56,1,1,1.0,0,0.3333333333333333,0.3333333333333333,0.0,14,tabelle:locations | tabelle:cleaning_jobs | attribut:locations.id | attribut:locations.customer_id | attribut:locations.label | attribut:locations.address | attribut:locations.access_note | attribut:cleaning_jobs.id | attribut:cleaning_jobs.location_id | attribut:cleaning_jobs.job_date | attribut:cleaning_jobs.status | attribut:cleaning_jobs.team_note | beziehung:cleaning_jobs → locations | beziehung:locations → customers,,
