testfall_id,stufe,workflow,score_strukturell,score_semantisch,score_gesamt,syntax_gate,fk_gate,pk_rate,pk_tabellen_gesamt,pk_tabellen_mit_pk,fk_referenzen_gesamt,fk_referenzen_ungueltig,entitaet_precision,entitaet_recall,entitaet_f1,entitaet_matched,entitaet_nur_in_referenz,entitaet_nur_in_generiert,attribut_precision,attribut_recall,attribut_f1,attribut_matched,attribut_nur_in_referenz,attribut_nur_in_generiert,beziehung_recall,beziehung_matched,beziehung_nur_in_referenz,beziehung_nur_in_generiert,abweichungen_total,input_tokens,output_tokens,total_tokens,llm_calls,error
TC001,1,sa,1.0,0.9692307692307693,0.9815384615384616,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,1.0,2,0,0,1,2297,610,2907,1,
TC001,1,ps,1.0,0.9692307692307693,0.9815384615384616,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,1.0,2,0,0,1,6787,2131,8918,3,
TC001,1,iw,1.0,0.9692307692307693,0.9815384615384616,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,1.0,2,0,0,1,5382,1453,6835,2,
TC001,1,oa,1.0,0.9692307692307693,0.9815384615384616,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,1.0,2,0,0,1,11333,2918,14251,4,
TC001,1,mad,1.0,0.9692307692307693,0.9815384615384616,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,1.0,2,0,0,1,27084,5733,32817,8,
TC002,1,sa,1.0,1.0,1.0,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,19,0,0,1.0,2,0,0,0,2294,777,3071,1,
TC002,1,ps,1.0,1.0,1.0,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,19,0,0,1.0,2,0,0,0,7213,2692,9905,3,
TC002,1,iw,1.0,1.0,1.0,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,19,0,0,1.0,2,0,0,0,5597,1498,7095,2,
TC002,1,oa,1.0,1.0,1.0,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,19,0,0,1.0,2,0,0,0,12098,3363,15461,4,
TC002,1,mad,1.0,1.0,1.0,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,19,0,0,1.0,2,0,0,0,28610,6403,35013,8,
TC003,1,sa,1.0,0.9033816425120773,0.9420289855072463,1,1,1.0,5,5,4,0,0.8,1.0,0.888888888888889,4,0,1,0.8333333333333334,0.9090909090909091,0.8695652173913043,20,2,4,1.0,2,0,0,2,2314,1109,3423,1,
TC003,1,ps,1.0,0.9033816425120773,0.9420289855072463,1,1,1.0,5,5,4,0,0.8,1.0,0.888888888888889,4,0,1,0.8333333333333334,0.9090909090909091,0.8695652173913043,20,2,4,1.0,2,0,0,2,7641,3361,11002,3,
TC003,1,iw,1.0,0.9033816425120773,0.9420289855072463,1,1,1.0,5,5,4,0,0.8,1.0,0.888888888888889,4,0,1,0.8333333333333334,0.9090909090909091,0.8695652173913043,20,2,4,1.0,2,0,0,2,14183,4239,18422,4,
TC003,1,oa,1.0,0.8888888888888888,0.9333333333333333,1,1,1.0,5,5,4,0,0.8,1.0,0.888888888888889,4,0,1,0.7692307692307693,0.9090909090909091,0.8333333333333333,20,2,6,1.0,2,0,0,2,13558,4317,17875,4,
TC003,1,mad,1.0,0.9033816425120773,0.9420289855072463,1,1,1.0,5,5,4,0,0.8,1.0,0.888888888888889,4,0,1,0.8333333333333334,0.9090909090909091,0.8695652173913043,20,2,4,1.0,2,0,0,2,31068,7683,38751,8,
TC004,1,sa,1.0,0.9733333333333334,0.984,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.9333333333333333,0.9333333333333333,0.9333333333333333,14,1,1,1.0,2,0,0,1,2296,665,2961,1,
TC004,1,ps,1.0,0.9733333333333334,0.984,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.9333333333333333,0.9333333333333333,0.9333333333333333,14,1,1,1.0,2,0,0,1,6995,2525,9520,3,
TC004,1,iw,1.0,0.9733333333333334,0.984,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.9333333333333333,0.9333333333333333,0.9333333333333333,14,1,1,1.0,2,0,0,1,20332,5218,25550,6,
TC004,1,oa,1.0,0.9466666666666668,0.9680000000000001,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.8666666666666667,0.8666666666666667,0.8666666666666667,13,2,2,1.0,2,0,0,2,11573,3222,14795,4,
TC004,1,mad,1.0,0.9733333333333334,0.984,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.9333333333333333,0.9333333333333333,0.9333333333333333,14,1,1,1.0,2,0,0,1,29395,6816,36211,8,
TC005,1,sa,1.0,0.6019607843137255,0.7611764705882353,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.5882352941176471,0.5882352941176471,0.5882352941176471,10,7,7,0.5,1,1,0,9,2296,726,3022,1,
TC005,1,ps,1.0,0.6019607843137255,0.7611764705882353,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.5882352941176471,0.5882352941176471,0.5882352941176471,10,7,7,0.5,1,1,0,9,6978,2399,9377,3,
TC005,1,iw,1.0,0.6254901960784314,0.7752941176470589,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.6470588235294118,0.6470588235294118,0.6470588235294118,11,6,6,0.5,1,1,0,8,12828,3285,16113,4,
