ID;Stufe;Domäne;Normalisierung (3 NF);Inhaltliche Vollsändigkeit;Angemessenheit der Datentypen;Komplexitätsstufenkonformität;Hinweis
TC015;1;Nachhilfeinstitut;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC021;1;Pflanzenmarkt;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC027;1;Weinhandlung;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC029;1;Fischhandel;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC033;1;Hundehotel;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC050;2;Lieferdienst;Nicht Erfüllt;Erfüllt;Erfüllt;Erfüllt;Redundanz bei Kunde & Kundenadresse in Auftrag
TC054;2;Musikfestival;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC060;2;Handwerksplattform;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC065;2;Lieferkettenmanagement;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC066;2;Bestellplatform;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC069;3;Produktionsplanung;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC071;3;Bankkernbanksysem;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC073;3;Gesdunheitsversorgungsnetzwerk;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC074;3;rechstkanzlei;Erfüllt;Erfüllt;Erfüllt;Erfüllt;
TC093;3;Klinische Studienverwaltung;Nicht Erfüllt;Erfüllt;Erfüllt;Erfüllt;Speicherung von Geburtsdatum/Geschlecht je Studienteilnahme
