testfall_id,stufe,domaene,anzahl_tabellen,anzahl_spalten,anzahl_foreign_keys,automatische_pruefung,anzahl_fehler,fehler
TC001,1,Bibliothek,3,13,2,OK,0,
TC002,1,Tierarztpraxis,3,19,2,OK,0,
TC003,1,Fitnessstudio,4,22,2,OK,0,
TC004,1,Buchhandlung,3,15,2,OK,0,
TC005,1,Autowerkstatt,3,17,2,OK,0,
TC006,1,Musikschule,3,19,2,OK,0,
TC007,1,Fahrradverleih,4,24,3,OK,0,
TC008,1,Hundesalon,4,20,3,OK,0,
TC009,1,Reinigung,3,15,2,OK,0,
TC010,1,Videothek,3,17,2,OK,0,
TC011,1,Zahnarztpraxis,3,21,2,OK,0,
TC012,1,Optiker,4,23,3,OK,0,
TC013,1,Friseursalon,4,21,3,OK,0,
TC014,1,Malergeschäft,4,25,3,OK,0,
TC015,1,Nachhilfeinstitut,3,16,2,OK,0,
TC016,1,Sportverein,3,20,2,OK,0,
TC017,1,Gartenmarkt,3,16,2,OK,0,
TC018,1,Kindertagesstätte,3,19,3,OK,0,
TC019,1,Bäckerei,4,17,3,OK,0,
TC020,1,Fotoatelier,3,16,2,OK,0,
TC021,1,Pflanzenmarkt,3,15,2,OK,0,
TC022,1,Spielzeuggeschäft,3,15,2,OK,0,
TC023,1,Schreibwarengeschäft,3,16,2,OK,0,
TC024,1,Blumenladen,4,19,3,OK,0,
TC025,1,Schuhreparatur,3,17,2,OK,0,
TC026,1,Schlosserei,4,21,3,OK,0,
TC027,1,Weinhandlung,4,20,2,OK,0,
TC028,1,Coffeeshop,4,18,3,OK,0,
TC029,1,Fischhandel,3,15,2,OK,0,
TC030,1,Pizzalieferdienst,4,19,3,OK,0,
TC031,1,Mietfahrrad,4,22,3,OK,0,
TC032,1,Spielplatz,3,18,2,OK,0,
TC033,1,Hundehotel,3,16,2,OK,0,
TC034,2,Hotelverwaltung,7,35,6,OK,0,
TC035,2,Restaurantkette,8,31,8,OK,0,
TC036,2,Schulverwaltung,8,34,10,OK,0,
TC037,2,Arztpraxis,8,39,8,OK,0,
TC038,2,Immobilienmakler,8,47,9,OK,0,
TC039,2,Reisebüro,7,32,6,OK,0,
TC040,2,Autovermietung,7,37,8,OK,0,
TC041,2,Kursverwaltung,7,33,6,OK,0,
TC042,2,Eventmanagement,6,31,5,OK,0,
TC043,2,Apotheke,7,31,6,OK,0,
TC044,2,Versicherungsagentur,6,33,6,OK,0,
TC045,2,Personalverwaltung,7,31,7,OK,0,
TC046,2,Lagerverwaltung,7,29,7,OK,0,
TC047,2,Ticketsystem,8,37,8,OK,0,
TC048,2,Kundendienst,8,39,8,OK,0,
TC049,2,Bankverwaltung,7,45,7,OK,0,
TC050,2,Lieferdienst,6,35,6,OK,0,
TC051,2,Freelancer-Plattform,7,34,6,OK,0,
TC052,2,Coworking-Space,8,32,8,OK,0,
TC053,2,Sportliga,7,34,9,OK,0,
TC054,2,Musikfestival,8,31,7,OK,0,
TC055,2,Messeverwaltung,7,32,8,OK,0,
TC056,2,Jugendzentrum,7,36,7,OK,0,
TC057,2,Bibliotheksnetzwerk,7,32,7,OK,0,
TC058,2,Fuhrpark,7,34,6,OK,0,
TC059,2,Wohnungsvermittlung,7,39,8,OK,0,
TC060,2,Handwerksplattform,6,31,7,OK,0,
TC061,2,Abonnementverwaltung,7,32,7,OK,0,
TC062,2,Projektmanagementtool,6,33,7,OK,0,
TC063,2,Bürgerserviceportal,8,35,7,OK,0,
TC064,2,Energieversorger,8,45,8,OK,0,
TC065,2,Lieferkettenmanagement,6,28,6,OK,0,
TC066,2,Bestellplattform,7,32,6,OK,0,
TC067,3,Krankenhausverwaltung,14,86,17,OK,0,
TC068,3,Universitätsverwaltung,16,81,22,OK,0,
TC069,3,Produktionsplanung,13,67,16,OK,0,
TC070,3,Forschungsdatenverwaltung,15,66,18,OK,0,
TC071,3,Bankkernbanksystem,14,82,16,OK,0,
TC072,3,Logistiknetzwerk,14,74,21,OK,0,
TC073,3,Gesundheitsversorgungsnetzwerk,15,67,23,OK,0,
TC074,3,Rechtskanzlei,14,85,20,OK,0,
TC075,3,Pharmazeutische Forschung,13,72,14,OK,0,
TC076,3,Energiehandel,14,72,15,OK,0,
TC077,3,Flughafenverwaltung,14,68,16,OK,0,
TC078,3,Bauprojektverwaltung,10,68,16,OK,0,
TC079,3,Sozialversicherungssystem,15,83,15,OK,0,
TC080,3,Steuerverwaltung,12,82,17,OK,0,
TC081,3,Katastrophenschutzsystem,18,88,27,OK,0,
TC082,3,Telekommunikationsnetz,15,78,17,OK,0,
TC083,3,Börsenverwaltung,14,84,21,OK,0,
TC084,3,Wissenschaftliches Publikationssystem,13,58,15,OK,0,
TC085,3,Militärlogistik,11,66,21,OK,0,
TC086,3,Raumfahrtprojektverwaltung,13,56,15,OK,0,
TC087,3,Medizinische Geräteregistrierung,14,68,15,OK,0,
TC088,3,Internationale Handelsverwaltung,15,84,23,OK,0,
TC089,3,Patientendatenmanagementsystem,15,90,25,OK,0,
TC090,3,Smart-City-Plattform,15,83,16,OK,0,
TC091,3,Digitale Zwillingsverwaltung,17,76,18,OK,0,
TC092,3,Biobankdatenbank,10,50,14,OK,0,
TC093,3,Klinische Studienverwaltung,11,65,15,OK,0,
TC094,3,Nationalarchiv,13,62,16,OK,0,
TC095,3,Kulturerbe-Inventarsystem,18,91,24,OK,0,
TC096,3,Komplexe Lieferkette,13,82,23,OK,0,
TC097,3,Mehrmandantensoftware,17,85,21,OK,0,
TC098,3,Notfallmanagementsystem,14,64,18,OK,0,
TC099,3,Regulatorische Compliance-Plattform,15,67,20,OK,0,
TC100,3,Grosshandels-ERP-System,20,95,27,OK,0,
